STATE_ID, NODE_ID, TIME_TO_RESOURCE_SECONDS, RESOURCE_DURATION_SECONDS, RESOURCE_LENGTH_METERS
3158,0,4429.616,900.44,5200.0
3158,1,4429.616,1042.578,4000.0
3158,2,4429.616,1289.469,6500.0
3158,3,4429.616,1376.011,4000.0
3158,4,4429.616,1448.692,4000.0
3158,5,4429.616,1519.803,4000.0
3158,6,4429.616,1598.288,4000.0
3158,7,4429.616,1713.748,5200.0
3158,8,4429.616,1814.948,4000.0
3158,9,4429.616,1929.443,4000.0
3158,10,4429.616,2060.257,4000.0
3158,11,4429.616,2211.995,4000.0
3158,12,4429.616,2393.865,4900.0
3158,13,4429.616,2479.804,4000.0
3158,14,4429.616,2553.125,4000.0
3158,15,4429.616,2663.934,5800.0
3158,16,4429.616,2750.857,4000.0
3158,17,4429.616,2853.127,4200.0
3158,18,4429.616,2963.371,4000.0
3158,19,4429.616,3088.865,4000.0
3158,20,4429.616,3233.718,4000.0
3158,21,4429.616,3403.12,4000.0
3158,22,4429.616,3492.038,2900.0
3158,23,4429.616,3587.854,4000.0
3158,24,4429.616,3944.426,5200.0
3158,25,4429.616,4226.356,4000.0
3158,26,4429.616,4529.514,4000.0
3158,27,4429.616,4832.672,4000.0
3158,28,4429.616,5150.0,4000.0
3158,29,4429.616,5573.529,5000.0
3158,30,4429.616,5912.353,4000.0
3158,31,4429.616,6293.945,4000.0
3158,32,4429.616,6841.145,5700.0
3158,33,4429.616,7276.437,4000.0
3158,34,4429.616,7630.899,3200.0
3158,35,4429.616,8105.712,4000.0
3158,36,4429.616,8629.349,4000.0
3158,37,4429.616,9197.487,4000.0
3158,38,4429.616,9837.487,4000.0
3158,39,4429.616,10080.525,4100.0
3158,40,4429.616,1062.265,4000.0
3158,41,4429.616,1272.773,4000.0
3158,42,4429.616,1416.773,2700.0
3158,43,4429.616,1635.44,4100.0
3158,44,4429.616,1956.325,5800.0
3158,45,4429.616,2250.085,5100.0
3158,46,4429.616,2562.951,5400.0
3158,47,4429.616,2813.386,4000.0
3158,48,4429.616,3063.821,4000.0
3158,49,4429.616,3314.256,4000.0
3158,50,4429.616,3587.854,4000.0
3158,51,4429.616,3944.426,5200.0
3158,52,4429.616,4226.356,4000.0
3158,53,4429.616,4529.514,4000.0
3158,54,4429.616,4832.672,4000.0
3158,55,4429.616,5150.0,4000.0
3158,56,4429.616,5573.529,5000.0
3158,57,4429.616,5912.353,4000.0
3158,58,4429.616,6293.945,4000.0
3158,59,4429.616,6841.145,5700.0
3158,60,4429.616,7276.437,4000.0
3158,61,4429.616,7630.899,3200.0
3158,62,4429.616,8105.712,4000.0
3158,63,4429.616,8629.349,4000.0
3158,64,4429.616,9197.487,4000.0
3158,65,4429.616,9837.487,4000.0
3158,66,4429.616,10080.525,4100.0
3159,0,6633.659,2853.127,4200.0
3159,1,6633.659,2963.371,4000.0
3159,2,6633.659,3088.865,4000.0
3159,3,6633.659,3233.718,4000.0
3159,4,6633.659,3403.12,4000.0
3159,5,6633.659,3492.038,2900.0
3159,6,6633.659,900.44,5200.0
3159,7,6633.659,1042.578,4000.0
3159,8,6633.659,1289.469,6500.0
3159,9,6633.659,1376.011,4000.0
3159,10,6633.659,1448.692,4000.0
3159,11,6633.659,1519.803,4000.0
3159,12,6633.659,1598.288,4000.0
3159,13,6633.659,1713.748,5200.0
