Zug@Station@Kürzel der Station@Strecke@Fahrweg@Gleis@Durchrutschweg@Ankunftszeit@Abfahrtszeit@Abfahrtszeit Fix@Planhaltezeit@Mindesthaltezeit@Einfahrt auf Hp1 bei Planhalt@Technische Mindestfahrzeit@Regelfahrzeitzuschlag absolut@Mindestfahrzeit@Bauzuschlag@Zuschlag 2@Zuschlag 3@Regelfahrzeit@Fahrzeitüberschuss@Planfahrzeit@Fahrzeitstütze@Verknüpfungen, ankommende Züge@Verknüpfungen, wartende Züge@Haltetyp@Durchfahrgleis bei Ausfall des Betriebshaltes@Fahrweg bei Ausfall des Betriebshaltes@Fahrzeitüberschuss prozentual@Regelfahrzeitzuschlag prozentual@Haltezeitreserve@Fahrzeitreserve@Gesamtreserve@in der Simulation abbaubare Reserven@Zugkonfiguration@Zugkonfigurationsname@Zuglänge@Eingestellte Triebfahrzeugtypen@Ankunftverspätung@Abfahrtverspätung@Wunschankunftszeit@Wunschabfahrtszeit@Wunschgleis@Wunschfahrweg@Geschwindigkeit / Planfahrzeit@Geschwindigkeit / techn.Mindestfahrzeit@Geschwindigkeit an der Station@Mechanische Energie@Anzahl einsteigender Fahrgäste ohne Umsteiger@Anzahl aussteigender Fahrgäste ohne Umsteiger@Anzahl einsteigender Umsteiger@Anzahl aussteigender Umsteiger@Summe der Anzahl einsteigender Fahrgäste@Summe der Anzahl aussteigender Fahrgäste@Differenz Fahrgastzahlen@Anzahl ankommender Fahrgäste@Anzahl abfahrender Fahrgäste@Gattung@Besteller@Traktionist@Qualitätsstufe@LÜ-Klasse@KV-Kodifizierung@Wagenübergang@Lokübergang@Anschlussbeziehungen@Bemerkung@Von Bahnhof@Von Bahnhof Kürzel@Nach Bahnhof@Nach Bahnhof Kürzel@Startbahnhof@Startbahnhof Kürzel@Zielbahnhof@Zielbahnhof Kürzel@Vö. Verkehrstag@Vö. Ankunft@Ankunft drucken@Vö. Abfahrt@Abfahrt drucken
ICE-A 70 Do@@H993R@1733@@?-0@@@@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@@@@@@@@@@@@@@0,0@0@0@0@0@0@0@0@0@0@@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 70 Do@Han Mess/Laatzen@HHML@1733@HORX-715/415-HWU(1733-2)@G-15@@@20:11:45@Ja@@@@18@1@19@0@0@0@19@1@20@Ja@@@Kein Halt@@@7,0@5,0@@2@2@2@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@20:11:45@20:11:45@G-15@HORX-715/415-HWU(1733-2)@174@200@200@14,5@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 70 Do@Hannover-Wülfel@HWU@1733@HORX-415-HH(1733-2)@G-415@@@20:12:05@@@@@77@4@81@0@0@0@81@21@102@Ja@@@Kein Halt@@@27,5@5,0@@25@25@25@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@20:12:05@20:12:05@G-415@HORX-415-HH(1733-2)@130@200@174@20,1@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 70 Do@Han Bismarckstr@HHBI@1733@HORX-724-HH@G-724@@@20:13:47@@@@@190@9@199@0@0@0@199@36@235@Ja@@@Kein Halt@@@18,7@5,0@@45@45@45@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@20:13:47@20:13:47@G-724@HORX-724-HH@57@160@130@44,1@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 70 Do@Hannover Hbf@HH@1710@HWU(1733)-7B/448D-HBUG(1710)@A-7@1-1000@20:17:42@20:20:43@Ja@181@180@@166@8@174@0@0@0@174@12@186@Ja@@@Planhalt@@@7,0@5,0@1@20@21@20@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@20:17:42@20:20:43@A-7@HWU(1733)-7B/448D-HBUG(1710)@77@110@0@52,2@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 70 Do@Hannover Burg@HBUG@1710@HH(1710)-HLGH@G-3@@@20:23:49@@@@@157@8@165@0@0@0@165@8@173@Ja@@@Kein Halt@@@5,0@5,0@@16@16@16@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@20:23:49@20:23:49@G-3@HH(1710)-HLGH@116@159@77@127,4@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 70 Do@Han-Vinnhorst@HVIN@1710@HH(1710)-44-HLGH@G-44@@@20:26:42@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@20:26:42@20:26:42@G-44@HH(1710)-44-HLGH@116@159@116@239,1@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja

ICE-A 71-1 Do@Han-Vinnhorst@HVIN@1710@HLGH(1710)-23-HH@G-23@@@ 7:32:47@Ja@@@@156@8@164@0@0@0@164@3@167@Ja@@@Kein Halt@@@2,1@5,0@@11@11@11@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@ 7:32:47@ 7:32:47@G-23@HLGH(1710)-23-HH@118@154@103@20,4@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 71-1 Do@Hannover Burg@HBUG@1710@HLGH-HH(1710)@G-4@@@ 7:35:34@@@@@163@8@171@0@0@0@171@17@188@Ja@@@Kein Halt@@@10,4@5,0@@25@25@25@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@ 7:35:34@ 7:35:34@G-4@HLGH-HH(1710)@78@110@110@95,9@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 71-1 Do@Hannover Hbf@HH@1733@HBUG(1710)-447/4A-HWU(1733) 2@I-4@1-1000@ 7:38:42@ 7:41:42@@180@180@@184@9@193@0@0@0@193@23@216@Ja@@@Planhalt@@@12,5@5,0@@32@32@32@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@ 7:38:42@ 7:41:42@I-4@HBUG(1710)-447/4A-HWU(1733) 2@65@123@0@113,9@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 71-1 Do@Han Bismarckstr@HHBI@1733@HH(1733)-751B-HORX@G-751@@@ 7:45:18@@@@@89@4@93@0@0@0@93@14@107@Ja@@@Kein Halt@@@15,2@5,0@@18@18@18@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@ 7:45:18@ 7:45:18@G-751@HH(1733)-751B-HORX@176@176@65@167,2@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 71-1 Do@Hannover-Wülfel@HWU@1733@HH(1733)-414/714-HORX@G-414@@@ 7:47:05@@@@@20@1@21@0@0@0@21@2@23@Ja@@@Kein Halt@@@11,3@5,0@@3@3@3@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@ 7:47:05@ 7:47:05@G-414@HH(1733)-414/714-HORX@185@185@162@425,5@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 71-1 Do@Han Mess/Laatzen@HHML@1733@HWU(1733-1)-714-HORX@G-14@@@ 7:47:28@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@ 7:47:28@ 7:47:28@G-14@HWU(1733-1)-714-HORX@185@185@172@475,5@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 71-1 Do@@H993R@1733@@?-0@@@@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@@@@@@@@@@@@@@0,0@0@0@0@0@0@0@0@0@0@@@@@@@@@@@@@@@@@@@@@Ja@@Ja

ICE-A 72 Do@@H993R@1733@@?-0@@@@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@@@@@@@@@@@@@@0,0@0@0@0@0@0@0@0@0@0@@@@@@@@@@@@@@@@@@@@@Ja@@Ja
